strategy,replication,arrival_mean,batch_window,orders_completed,throughput_orders_hr,avg_distance_m,avg_flow_time_s,avg_wait_time_s,utilization,run_time_s
largest_gap,0,180.0,120.0,130,18.76,120.5,159.8,10.1,0.049,0.0
largest_gap,1,180.0,120.0,137,19.96,118.9,160.9,13.1,0.059,0.0
largest_gap,2,180.0,120.0,138,19.78,120.4,164.2,15.1,0.068,0.0
largest_gap,3,180.0,120.0,155,22.41,126.9,184.7,26.8,0.052,0.0
largest_gap,4,180.0,120.0,132,19.05,126.8,169.9,13.0,0.064,0.0
largest_gap,0,180.0,300.0,142,20.68,123.6,174.1,19.5,0.058,0.0
largest_gap,1,180.0,300.0,149,21.49,120.9,170.8,21.0,0.06,0.0
largest_gap,2,180.0,300.0,114,16.77,125.5,169.5,12.8,0.055,0.0
largest_gap,3,180.0,300.0,132,19.33,123.4,166.8,13.2,0.057,0.0
largest_gap,4,180.0,300.0,137,19.67,123.6,170.6,16.7,0.059,0.0
largest_gap,0,180.0,600.0,136,19.55,121.9,169.4,16.5,0.056,0.0
largest_gap,1,180.0,600.0,120,17.33,117.9,158.5,11.5,0.052,0.0
largest_gap,2,180.0,600.0,166,24.15,117.2,170.0,23.3,0.06,0.0
largest_gap,3,180.0,600.0,138,20.11,122.2,171.6,19.8,0.061,0.0
largest_gap,4,180.0,600.0,160,22.99,125.3,175.1,19.6,0.056,0.0
largest_gap,0,300.0,120.0,94,13.99,126.5,170.8,13.4,0.043,0.0
largest_gap,1,300.0,120.0,69,10.02,122.6,160.1,7.2,0.038,0.0
largest_gap,2,300.0,120.0,95,13.9,121.6,164.7,13.1,0.035,0.0
largest_gap,3,300.0,120.0,80,11.6,120.4,158.7,8.2,0.033,0.0
largest_gap,4,300.0,120.0,86,12.42,129.0,163.0,3.4,0.047,0.0
largest_gap,0,300.0,300.0,86,12.36,126.4,160.2,3.7,0.051,0.0
largest_gap,1,300.0,300.0,83,11.88,124.3,157.3,3.2,0.048,0.0
largest_gap,2,300.0,300.0,72,10.51,126.3,161.0,4.1,0.046,0.0
largest_gap,3,300.0,300.0,74,11.13,125.9,161.9,3.0,0.042,0.0
largest_gap,4,300.0,300.0,75,10.95,125.0,156.9,1.9,0.046,0.0
largest_gap,0,300.0,600.0,81,12.45,121.9,155.9,3.4,0.04,0.0
largest_gap,1,300.0,600.0,74,10.7,124.0,154.3,0.0,0.04,0.0
largest_gap,2,300.0,600.0,96,14.17,124.7,168.8,12.1,0.032,0.0
largest_gap,3,300.0,600.0,100,14.5,125.1,167.3,11.8,0.036,0.0
largest_gap,4,300.0,600.0,97,14.09,126.7,164.4,7.9,0.045,0.0
largest_gap,0,600.0,120.0,44,6.56,115.4,149.3,4.9,0.028,0.0
largest_gap,1,600.0,120.0,49,7.2,117.6,150.7,4.4,0.03,0.0
largest_gap,2,600.0,120.0,48,7.24,120.5,153.0,1.5,0.032,0.0
largest_gap,3,600.0,120.0,49,7.71,114.4,143.4,0.2,0.028,0.0
largest_gap,4,600.0,120.0,49,7.22,128.9,163.9,2.8,0.029,0.0
largest_gap,0,600.0,300.0,39,5.85,122.9,157.7,4.1,0.028,0.0
largest_gap,1,600.0,300.0,40,5.85,128.3,160.0,0.0,0.029,0.0
largest_gap,2,600.0,300.0,35,5.31,121.7,153.0,2.9,0.028,0.0
largest_gap,3,600.0,300.0,58,8.46,118.9,150.0,1.3,0.035,0.0
largest_gap,4,600.0,300.0,37,5.38,123.2,154.3,0.9,0.03,0.0
largest_gap,0,600.0,600.0,29,4.25,120.6,150.6,0.0,0.026,0.0
largest_gap,1,600.0,600.0,39,5.78,127.2,157.1,0.0,0.03,0.0
largest_gap,2,600.0,600.0,34,5.21,120.0,148.4,0.0,0.025,0.0
largest_gap,3,600.0,600.0,49,7.17,126.7,159.4,2.6,0.034,0.0
largest_gap,4,600.0,600.0,40,6.73,122.7,152.4,0.0,0.027,0.0
batch_lg,0,180.0,120.0,134,19.21,98.6,242.4,59.6,0.013,0.0
