strategy,replication,arrival_mean,num_pickers,orders_completed,throughput_orders_hr,avg_distance_m,avg_flow_time_s,avg_wait_time_s,utilization,run_time_s
s_shape,0,180.0,1,128,18.51,136.6,466.4,300.6,0.014,0.0
s_shape,1,180.0,1,134,19.51,134.5,638.1,474.6,0.041,0.0
s_shape,2,180.0,1,136,19.54,134.6,769.2,605.7,0.029,0.0
s_shape,3,180.0,1,143,20.52,143.3,1830.7,1656.6,0.026,0.0
s_shape,4,180.0,1,130,18.73,143.7,545.5,371.6,0.047,0.0
s_shape,0,180.0,2,142,20.66,141.9,199.4,26.6,0.061,0.0
s_shape,1,180.0,2,149,21.49,135.2,191.0,27.0,0.052,0.0
s_shape,2,180.0,2,113,16.74,142.0,189.4,16.3,0.056,0.0
s_shape,3,180.0,2,132,19.31,140.4,191.3,20.7,0.063,0.0
s_shape,4,180.0,2,137,19.67,139.6,190.8,20.9,0.057,0.0
s_shape,0,300.0,1,82,11.74,138.8,273.5,104.4,0.047,0.0
s_shape,1,300.0,1,77,11.06,131.7,254.6,94.2,0.041,0.0
s_shape,2,300.0,1,95,14.22,134.4,277.5,113.5,0.044,0.0
s_shape,3,300.0,1,82,11.77,140.1,269.4,98.8,0.052,0.0
s_shape,4,300.0,1,101,14.84,139.9,339.2,169.1,0.04,0.0
s_shape,0,300.0,2,94,13.97,139.1,188.0,18.0,0.043,0.0
s_shape,1,300.0,2,69,10.02,138.7,177.5,8.4,0.033,0.0
s_shape,2,300.0,2,95,13.9,136.2,182.4,16.3,0.036,0.0
s_shape,3,300.0,2,80,11.6,139.1,180.1,10.9,0.034,0.0
s_shape,4,300.0,2,86,12.41,141.6,176.5,4.3,0.046,0.0
s_shape,0,600.0,1,43,6.31,142.6,192.4,20.2,0.032,0.0
s_shape,1,600.0,1,32,4.59,129.5,185.2,27.6,0.025,0.0
s_shape,2,600.0,1,37,5.42,142.9,204.9,30.6,0.028,0.0
s_shape,3,600.0,1,38,5.71,146.2,201.6,22.8,0.034,0.0
s_shape,4,600.0,1,33,4.83,145.3,198.9,22.3,0.027,0.0
s_shape,0,600.0,2,40,5.79,142.1,173.6,0.0,0.035,0.0
s_shape,1,600.0,2,35,5.15,147.2,180.2,0.0,0.027,0.0
s_shape,2,600.0,2,48,7.1,146.6,188.9,10.9,0.027,0.0
s_shape,3,600.0,2,50,7.34,147.1,185.5,8.1,0.028,0.0
s_shape,4,600.0,2,49,7.49,137.7,169.8,3.2,0.029,0.0
largest_gap,0,180.0,1,128,18.52,120.7,343.3,193.4,0.038,0.0
largest_gap,1,180.0,1,136,19.74,119.2,391.8,243.5,0.043,0.0
largest_gap,2,180.0,1,138,19.78,120.4,542.3,393.1,0.033,0.0
largest_gap,3,180.0,1,152,21.75,126.8,769.4,611.5,0.036,0.0
largest_gap,4,180.0,1,131,18.9,126.9,342.6,185.5,0.059,0.0
largest_gap,0,180.0,2,142,20.68,123.6,174.1,19.5,0.058,0.0
largest_gap,1,180.0,2,149,21.49,120.9,170.8,21.0,0.06,0.0
largest_gap,2,180.0,2,114,16.77,125.5,169.5,12.8,0.055,0.0
largest_gap,3,180.0,2,132,19.33,123.4,166.8,13.2,0.053,0.0
largest_gap,4,180.0,2,137,19.67,123.6,170.6,16.7,0.049,0.0
largest_gap,0,300.0,1,82,11.75,119.4,216.8,67.2,0.045,0.0
largest_gap,1,300.0,1,77,11.06,117.5,212.2,66.0,0.035,0.0
largest_gap,2,300.0,1,95,14.22,116.0,233.0,87.5,0.042,0.0
largest_gap,3,300.0,1,83,11.88,125.8,232.7,76.5,0.044,0.0
largest_gap,4,300.0,1,101,14.88,125.7,262.9,106.9,0.04,0.0
largest_gap,0,300.0,2,94,13.99,126.5,170.8,13.4,0.043,0.0
