strategy,replication,num_aisles,num_pickers,orders_completed,throughput_orders_hr,avg_distance_m,avg_flow_time_s,avg_wait_time_s,utilization,run_time_s
s_shape,0,5,2,76,11.38,93.6,124.5,1.9,0.036,0.0
s_shape,1,5,2,81,11.98,93.5,124.3,0.9,0.036,0.0
s_shape,2,5,2,95,14.3,94.5,127.5,3.8,0.032,0.0
s_shape,3,5,2,94,14.16,97.8,132.2,3.0,0.019,0.0
s_shape,4,5,2,79,11.6,98.6,129.3,1.0,0.034,0.0
s_shape,0,10,2,87,12.55,146.3,183.4,4.9,0.051,0.0
s_shape,1,10,2,89,12.98,136.3,180.2,15.0,0.04,0.0
s_shape,2,10,2,60,8.63,147.4,184.1,5.0,0.039,0.0
s_shape,3,10,2,73,10.92,136.4,171.0,4.5,0.041,0.0
s_shape,4,10,2,86,12.38,135.9,172.7,7.2,0.031,0.0
s_shape,0,20,2,82,11.72,189.1,233.5,14.3,0.056,0.0
s_shape,1,20,2,77,11.05,190.6,232.2,12.9,0.056,0.0
s_shape,2,20,2,95,14.2,191.9,248.5,27.0,0.059,0.0
s_shape,3,20,2,82,11.77,194.2,244.5,19.9,0.057,0.0
s_shape,4,20,2,101,14.94,195.6,248.7,22.9,0.054,0.0
largest_gap,0,5,2,76,11.39,74.0,104.1,1.2,0.033,0.0
largest_gap,1,5,2,81,12.01,72.7,102.9,0.4,0.03,0.0
largest_gap,2,5,2,95,14.31,74.6,106.7,2.9,0.029,0.0
largest_gap,3,5,2,95,14.05,76.5,110.1,2.0,0.031,0.0
largest_gap,4,5,2,79,11.6,80.4,111.0,0.8,0.036,0.0
largest_gap,0,10,2,87,12.55,127.6,163.3,3.5,0.037,0.0
largest_gap,1,10,2,89,12.99,122.5,162.0,10.6,0.042,0.0
largest_gap,2,10,2,60,8.63,130.8,166.3,3.8,0.039,0.0
largest_gap,3,10,2,73,10.94,118.9,152.0,3.0,0.037,0.0
largest_gap,4,10,2,86,12.39,120.9,156.6,6.1,0.04,0.0
largest_gap,0,20,2,82,11.73,178.0,220.6,12.4,0.046,0.0
largest_gap,1,20,2,77,11.05,185.4,226.6,12.4,0.055,0.0
largest_gap,2,20,2,95,14.19,179.8,232.1,22.7,0.049,0.0
largest_gap,3,20,2,83,11.88,184.9,233.2,18.0,0.045,0.0
largest_gap,4,20,2,101,14.94,186.9,237.1,19.9,0.055,0.0
hybrid_ga,0,5,2,76,11.37,91.9,122.6,1.8,0.023,0.2
hybrid_ga,1,5,2,81,11.97,90.0,120.5,0.7,0.035,0.2
hybrid_ga,2,5,2,95,14.3,91.1,124.3,3.9,0.024,0.2
hybrid_ga,3,5,2,94,14.16,96.4,130.7,2.8,0.023,0.2
hybrid_ga,4,5,2,79,11.6,96.8,127.6,1.1,0.025,0.2
hybrid_ga,0,10,2,87,12.55,142.4,179.6,5.0,0.046,0.2
hybrid_ga,1,10,2,89,12.99,128.3,169.9,12.7,0.041,0.2
hybrid_ga,2,10,2,60,8.64,139.8,176.2,4.7,0.021,0.2
hybrid_ga,3,10,2,73,10.91,129.2,163.3,3.9,0.026,0.2
hybrid_ga,4,10,2,86,12.39,130.4,166.9,6.9,0.027,0.2
hybrid_ga,0,20,2,82,11.72,179.8,221.5,11.5,0.041,0.2
hybrid_ga,1,20,2,77,11.06,180.6,220.4,11.1,0.054,0.2
hybrid_ga,2,20,2,95,14.2,183.2,237.6,24.8,0.042,0.2
hybrid_ga,3,20,2,83,11.87,184.8,233.0,17.9,0.03,0.2
hybrid_ga,4,20,2,101,14.93,187.9,239.2,21.0,0.024,0.3
